Country,Year,GDP_Growth,CO2_Emission_Metrics_per_capita,Electricity_access,Urban_population,Population_growth,Urban_population_growth_annual,Live_stock_production,Forest_area,Renewable_energy_use,Energy_use_kg_of_oil_per_capita,Population_total
Afghanistan,2008,3.9,0.2,42.4,23.3,2.3,3.2,90.9,1.9,21.3,..,"2,77,22,276.00"
Albania,2008,7.5,1.5,..,50,-0.8,1.4,87.3,28.4,35.9,710.7,"29,47,314.00"
Algeria,2008,2.4,3.2,..,66.1,1.6,2.8,68.9,0.8,0.3,"1,073.20","3,47,30,608.00"
American Samoa,2008,-2.6,..,..,87.8,-1.5,-1.6,99.6,87.5,0,..,"57,492.00"
Andorra,2008,-5.6,6.4,100,89,1.4,1.1,..,34,17.4,..,"83,862.00"
Angola,2008,11.2,1.2,31.3,58.3,3.7,5,83.7,58.8,58.1,492,"2,16,95,634.00"
Antigua and Barbuda,2008,0,5.6,100,27.4,1.6,-0.5,258.2,20.3,0,..,"85,397.00"
Argentina,2008,4.1,4.7,97.5,90.5,1,1.2,99.1,11.3,7.6,"1,937.60","4,00,80,160.00"
Armenia,2008,6.9,1.9,99.4,63.6,-0.9,-1,83,11.6,6.4,"1,033.20","29,07,618.00"
Aruba,2008,-0.1,26.2,100,43.8,0.1,-0.7,..,2.3,0.2,..,"1,01,358.00"
Australia,2008,3.7,18.2,100,84.9,2,2.1,87.6,16.9,6.8,"5,964.70","2,12,49,200.00"
Austria,2008,1.5,8.3,100,58,0.3,-0.2,93.5,46.7,29.4,"4,032.10","83,21,496.00"
Azerbaijan,2008,10.6,4.1,99.7,53,2.1,2.5,72.2,12.4,3.1,"1,520.30","87,63,400.00"
"Bahamas, The",2008,-2.3,6.9,100,82.3,1.8,1.9,87.1,50.9,2.1,..,"3,43,681.00"
Bahrain,2008,6.2,26.7,100,88.5,7.3,7.4,26.4,0.6,0,"11,318.30","11,14,641.00"
Bangladesh,2008,6,0.3,52.7,29,1.1,3.7,81.5,14.6,45.6,185.6,"14,43,04,167.00"
Barbados,2008,0.7,5.8,100,32.3,0.4,-0.2,94.6,14.7,8.6,..,"2,79,946.00"
Belarus,2008,10.2,6.6,100,73.7,-0.3,0.3,83.3,42.2,6.5,"2,932.10","95,27,985.00"
Belgium,2008,0.4,9.8,100,97.6,0.8,0.8,87.5,22.6,3.9,"5,454.70","1,07,09,973.00"
Belize,2008,3.5,1.4,87.6,45.3,2.6,2.5,74.7,61.6,34.1,..,"3,06,823.00"
Benin,2008,4.9,0.5,29.7,42.1,2.8,4,74.4,33.1,54.8,376.9,"86,96,921.00"
